project;plan
freelinking;"8.x-3.x-dev is compatible with Drupal 8.8.0 to 9.4.0. 4.0.x is compatible with Drupal 9.0.0 to 10.x.y or greater. PHP 7.4 is required."
axeptio;"This module is ready for Drupal 9."
webform_ip_geo;"The module is Drupal 9 ready."
entity_route_context;"Project is compatible with Drupal 9. Update to version 3. 3.x branch is a drop in replacement for 1.x branch."
taxonomy_bulk_actions;"This project is Drupal 9 compatible."
simple_integrations;"Drupal 9 ready as of 1.2."
webform_remote_select;"Compatible with Drupal 9"
mailchimp_marketing;"Drupal 9 ready"
flexible_google_cse;"Drupal 9 ready"
dwr;"Module should be compatible with Drupal 9."
efs;"D9 compatibility 2.x branch"
look;"This module is Drupal 9 compatible."
bundle_redirect;"Bundle redirect module is ready for Drupal 9."
webpack;"Drupal 9 issue [#3131906]"
doccheck_basic;"2019-07-31: No drupal-check errors in this module"
comment_reply_count;"Comment Reply Count 8.x-1.2+ supports Drupal 9. Enjoy."
jquery_scrollup;"Compatible with Drupal 9"
bcc;"The Beta branch is Drupal 9 ready."
multivaluefield;"Drupal 9 ready"
migrate_source_html;"This module is Drupal 9 ready."
url_replace_filter;"Version 1.0 is compatible with Drupal 9."
govuk_theme;"Fully ported to Drupal 9"
facets_short_pretty_paths;"Is Drupal 9 compatible / dependencies might need patches"
views_table_rowspan;"Version 2.0.x fully supports Drupal 9."
bulk_author_update;"This module is already fully compatible with Drupal 9"
page_popup;"Already compatible (no deprecated API & core_version_requirement is set)"
danse;"This project is ready for Drupal 9"
alias_manager;"Drupal 9 is also supported."
shortcode_social;"Drupal 9 is supported for version 8.x-1.1 and above"
helloworld;[#3082507]
google_index_api;"Drupal 9 is fully supported since version 8.x-1.1."
carryquery;"8.x-1.x-dev is now Drupal 9 compatible."
smart_ip_locale;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/smart_ip_locale?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
rut;"This module is Drupal 9 ready"
bigvideo;"<a href=""https://www.drupal.org/project/bigvideo/issues/3103472"">#3103472: Add new key core_version_requirement in bigvideo.info.yml</a>"
translate_tool;"This module is ready for Drupal 9."
handsontable_yml_webform;"Fully compatible. Use release 8.x-1.2 of this module."
graphql_node_preview;"This module is ready for Drupal 9."
eus;"End user session 8.x-1.x supports Drupal 9. Enjoy."
svg_icon;"The 8.x-1.x branch is compatible with Drupal 9."
available_updates;"Available Updates supports Drupal 9."
paragraphs_type_help;"Use version 3.x of this module"
fixteaserlinks;"Release 8.x-1.1 is fully compatible with Drupal 9."
config_share;"The latest release supports both 8.x and 9.x"
auto_anchors;"Automatic Anchors is compatible with Drupal 9."
year;"Year is compatible with Drupal 9."
migrate_media_handler;"Drupal 9 released!"
yandex_yml;"The current module version is ready to run."
fepper;"8.x-3.0+ is compatible with Drupal 9."
ex_icons;"This module is compatible with Drupal 9."
birthday_wish_mail;"This module is fully compatible with Drupal 9!"
gdpr_onetrust;"Drupal 9 Compatability is committed in the <a href=""https://www.drupal.org/project/gdpr_onetrust/releases/2.x-dev"" title=""2.x branch"">2.x branch</a> and a dev version is available for download. Help this project by testing this version"
custom_configuration;"Drupal 9 compatibility changes are done."
custom_elements;"The module is compatible with Drupal 9 since beta1."
dan;"Ready for Drupal 9"
popin;"This module is fully compatible with drupal 9."
spamaway;"It's D9 ready baby!"
age_exposed_filter;"The module is ready for Drupal 9."
eme;"Compatible with Drupal 9."
rmkv;"Development with Drupal 9.2.x."
math_field;[#3083212]
views_data_export_phpspreadsheet;"Compatible with drupal 9"
php_password;"The latest release should support Drupal 9. Please report any issues."
migmag;"Compatible with Drupal 9."
search_api_grouping;"This module is ready for D9!"
graphql_entity_by_object;"This module is ready for D9!"
page_attributes;"It will be availble for D9 upon its official release"
media_field_formatters;"Compatible as of 8.x-1.0-rc3."
simple_like_button;"Fully compatible with Drupal 9"
time_spent;"This module is ready for Drupal 9."
geocluster;"2.0.0+ is compatible with Drupal 9"
quote;"8.x-2.0+ is Drupal 9 compatible."
entity_usage_views_field;"2.x branch compatible with Drupal 9"
mothermayi;"Version 8.x-1.3 is Drupal 9 compatible."
entity_toolbar;"This module is compatible with Drupal 9."
tab_manager;"Compatible with Drupal 9."
panache;"This theme is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/panache/releases/8.x-1.1"">verison 1.1</a>!"
migrate_scanner;"This module is compatible with Drupal 9."
migrate_queue_importer;"The code of this project is Drupal 9 ready!"
at_corolla;"Drupal 9 compatible"
display_link_plus;"This module is ready for Drupal 9."
filter_empty_tags;"This module is available on both D8 and D9."
burndown;"This module is Drupal 9 ready."
lightship;"This theme is Drupal 9 ready."
syncer;"Supports D9."
text_block;"This module is fully compatible with Drupal 9."
select2_multicheck;"This module is already fully compatible with Drupal 9"
yg_freelancer;"Theme is Drupal 9 Ready!"
entity_usage_integrity;"This module is Drupal 9 compatible."
commerce_postfinance;"This module is Drupal 9 ready!"
jitsi;"Module compatible with Drupal 9"
smartmenus;"* There are no plans for a Drupal 9 version of this module."
rest_mail_login;"Drupal 9 READY."
modal_widget;"This module is Drupal 9 ready."
download_statistics;"This module is Drupal 9 ready."
jstree_menu;"This module is already compatible with Drupal 9."
counter_on_scroll;"Available for Drupal 9."
queue_throttle;"Release <code>8.x-1.2</code> is D9 compatible!"
mobile_native_share;"Mobile Native Share supports Drupal 9. Enjoy."
ik_modals;"Compatibility for D9 starts at version 3.0.0 and up"
rng_conflict;"Not yet."
config2php;"Drupal 9 is fully supported since version 2.0.0-beta1"
notify;"Version 2 is compatible with Drupal 9."
google_analytics_search_api_autocomplete;"the module is compatible with Drupal 9 since release 8.x-1.0-beta5"
popup_onload;[#3083925]
aws_cloudwatchlogs;"The module is supporting Drupal 8.8 and higher versions."
uswds_paragraph_components;"2.1.x is compatible with Drupal 9."
ckeditor_link_with_text;"Ckeditor Link With Text 8.x-1.2 + supports Drupal 9. Enjoy."
call_now_button;"This module is Drupal 9 compatible 🍻"
views_field_compare;"Fully compatible with Drupal 9."
require_revision_log_message;"Drupal 9 ready."
druppio_small_business;"This theme is Drupal 9 ready."
outlayer;"Outlayer 8.x supports Drupal 9. Enjoy."
iubenda_integration;"3.0.0-alpha1+ is Drupal 9 compatible."
contextual_filter_range_validator;"<a href=""https://www.drupal.org/project/contextual_filter_range_validator/releases/8.x-1.1"">Views Contextual Filter Validator: Number Range 8.x-1.1</a> supports Drupal 9."
christmas_snow;"Module is fully compatible with Drupal 9!"
commerce_multisafepay_payments;"This module is Drupal 9 ready."
drusys_landing_page_builder;"Drupal 9 Available."
barebones_enhanced;"This theme is compatible with Drupal 9."
flatcomments;"Compatible with Drupal 9"
twitter;"Use this project instead: <em>TBD</em>"
commerce_ingenico;"Drupal 9 ready since 8.x-1.0-beta2"
bibcite_migrate;"Currently no known Drupal 9 compatibility issues in latest dev."
link_field_display_mode_formatter;"The module is compatible with Drupal 9"
layout_builder_customizer;"This module is Drupal 9 compatible 🍻"
taxonomy_custom_controller;"Ready as it will release."
acquia_purge_varnish;8/9
youtubeapi;"Drupal 9 ready"
comment_approver;"Comment approver 8.x-1.x-dev supports Drupal 9. Enjoy."
lb_section_navigation;"The module is Drupal 9 ready"
field_group_bootstrap;"support drupal 9"
fieldmask;"Also comparable with drupal 9."
amazing_multiselect;"Porting this project to <strong>D9</strong> will start with <strong>Drupal 8.9</strong> first release ."
moderation_state_transitions_widget;"Initial release supports D8.9, D9 and hopefully D10."
views_argument_validator_regex;"<a href=""https://www.drupal.org/project/views_argument_validator_regex/releases/8.x-1.0"">Views Contextual Filter Validator: Regular Expression (regex) v8.x-1.0</a> supports Drupal 9."
jumper;"Jumper (Jump Anywhere) 8.x supports Drupal 9. Enjoy."
civic_breadcrumbs;"This module is compatible with drupal 9."
reference_blocked_users;8/9
tabtamer;"Drupal 9 is also supported:)"
akismet;"This module is compatible with Drupal 9 since the 8.x-1.0-alpha2 release."
disable_user_login_and_registration;"Compatible with Drupal 9"
tiny_carousel_slider;"New release 8.x-1.2 to support Drupal 9.X version"
edit_own_user_account_permission;"Drupal 9 ready."
expose_status;"This project is compatible with Drupal 9."
sendgrid_api;"Fully compatible with Drupal 9."
graphql_flag;"8.x-1.x is Drupal 9 compatible."
chat_livehelperchat;"Drupal 9 compatible."
otp_verification;"Currently no known issues with Drupal 9."
scheduled_transitions_sidebar;"2.x branch is compatible with Drupal 8 and 9."
stripe_registration;"The 8.x-1.x branch of this module is Drupal 9 compatible."
simple_live_css;"This module is Drupal 9 ready!"
invoice_agent;"Read more about this project’s readiness at [#3090689]."
number_formatter;"This module is ready for Drupal 9."
paypal_subscriptions;[#3084836]
dropfort_update;"Drupal 9 is being worked on."
single_content_sync;"The module is Drupal 9 ready"
entity_reports;"Drupal 9 support is coming in 1.6."
alexa;"Drupal 9 compatible since version 1.0-rc2"
drowl_paragraphs;"This module is Drupal 9 compatible in the latest branch."
galleriajs;"The module is compatible with Drupal 9."
agls;"Fully supported as of 8.x-1.0."
page_hits;"Module fully compatible with Drupal 9."
sticky_toolbar;"This module is Drupal 9 ready."
tag_formatter;"This module is ready for Drupal 9."
video_embed_twentythree;"Drupal 9 supported since 8.x-1.2."
paragraphs_bootstrap_carousel;"ready for drupal 9"
extra_field_configuration;"This module is compatible with Drupal 9."
best_selling_products;"This module is Drupal 9 ready."
barebones;"This theme is compatible with Drupal 9."
instagram_field;"2019-07-31: No drupal-check errors in this module"
password_policy_pwned;"The 8.x-1.x branch is compatible with Drupal 9."
vartheme_material;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_material?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
services_menu;"Drupal 9 Compatible"
notfoundpassthrough;"Page Not Found Passthrough works in Drupal 9."
filter_harmonizer;"Ready for use in D8 and D9."
rating_field;"This module should be ready for D9 as there is no deprecated code and works with 8.7.6 as well."
website_feedback;"Supports Drupal 9"
eep;"This project is ready for Drupal 9"
block_library;"Ready for Drupal 9!"
foundation_sites;"This module is Drupal 9 compatible in the latest branch."
cookie_samesite_support;"This is D9 compatible."
commerce_otpsp;"Help port this project at [#3099573]"
webform_dynamic_autocomplete;"This module works for Drupal 9 as well as for Drupal 8 versions above 8.7"
fasttoggle;"8.x-3.0+ is Drupal 9 compatible."
commerce_culqi;"Supported as of 2.0.0"
term_glossary;"This will have a stable Drupal 9 Release."
mortgage_calculator;"Edit Real Estate Mortgage Calculator is compatible with Drupal 9."
sitemap_status;"Is Drupal 9 ready"
wikipedia_client;"This module should be Drupal 9 compatible."
brreg_api;"This project is 100% compatible with Drupal 9"
mailtoui;"This module is Drupal 9 compatible 🍻"
context_mobile_condition;"This module is compatible with Drupal 9."
html5_audio_player;"We are ready to port this module in Drupal 9."
file_history;"This module are D9 ready !"
commerce_ifthenpay;"This module is Drupal 9 compatible 🍻"
sarbacane;"This module is Drupal 9 ready."
govuk_webform_elements;"Fully ported to Drupal 9"
callus;"This module will work as is with Drupal 9."
content_as_config;"This module is fully Drupal 9 compatible."
taarikh;"8.x-1.0-alpha3 is compatible with Drupal 9"
group_extras;"Ready for Drupal9"
expose_actions;"This project is ready for Drupal 9"
group_forum;"This project is ready for Drupal 9"
ekam;Compatible.
recurly;"Drupal 9 support was added in [#3071817], but tests are failing: [#3238416].  Help with that would be appreciated.  Development has moved to 4.x.  As soon as that branch is stable, the 8.x-1.x branch will be unsupported.  Please report any new issues (but check for similar issues first)."
web_page_archive;"Drupal 9 support is underway: [#3112530]"
dynamic_menu_item;"Module version <code>1.0</code> is Drupal 9 compatible. See issue [#3138812] for more details."
http_headers_cleaner;"Http-headers cleaner supports Drupal 9"
commerce_direct_tax_field;"Not tested."
gdpr_video;"Ready now for D8.9 and D9.x"
formstack;"Use version ^3.0.0"
jsonapi_reference;"No known compatibility issues with Drupal 9."
social_links;"Supported as of 8.x-2.0!"
simpleads;"Drupal 8/9 version support is available for purchase https://downloads.minnur.com/drupal/simpleads"
monitoring_hrm;"Version 1.1 is compatible with D8.8 + D9.0"
config_backup;"This module is Drupal 9 compatible."
potion;"Potion is ready for Drupal 9"
word_monitor;"This module is Drupal 9-compatible."
crop_image;"This module is compatible with Drupal 9"
rest_api_authentication;"<strong>The 8.x module is compatible with both Drupal 8 and Drupal 9</strong>"
upgrade_tool;"We have Drupal 9 ready 2.0.0 + releases"
config_entity_cloner;"Config Entity Cloner supports Drupal 9"
libraries_delay_load;"2.0+ is compatible with Drupal 9"
layout_builder_simplify;"D9 compatible."
commerce_product_reminder;"Drupal 9 ready"
pf_alerta;"This project is ready for Drupal 9"
line_awesome;"This module is Drupal 9 compatible 🍻"
academic_applications;"Help port this project at [#3124158]."
entity_reference_finder;"Drupal 9 supported."
entity_share_websub;"Drupal 9 ready"
google_analytics_vimeo;"Use <a href=""https://www.drupal.org/project/google_analytics_vimeo/releases/8.x-1.1-alpha1"">8.x-1.1-alpha1</a>."
text_rotator_filter;"Drupal 9 is fully supported."
commerce_btcpay;"Drupal 9 ready as of 8.x-1.0-alpha4"
paragraphs_tabs_widget;"Already compatible with Drupal 9! (<a href=""https://www.drupal.org/node/3187755/qa"">see the automated test results</a>)"
token_var;"Token Variable 8.x-1.0+ supports Drupal 9."
azure_storage;"Release <code>2.0.0</code> is D9 compatible!"
media_pixabay;"Media Pixabay 8.x-1.0+ supports Drupal 9."
menu_items_visibility;"1.x is Drupal 9 compatible."
apidae_tourisme;"<p><strong>The version 2.0.0-alpha2 is fully compatible with drupal 9 ! </strong> \\o/</p>"
social_contact_info;"Compatible with Drupal 9"
one_time_login_link_admin;"It's completely supported in Drupal9."
image_background_formatter;"Drupal 9 is also supported."
commerce_extra_items;"Compatible with Drupal 9 since version 1.2."
drowl_media;"This module is Drupal 9 compatible in the latest branch."
content_editing_message;"This module is already fully compatible with Drupal 9!"
lupus_ce_renderer;"The module is compatible with Drupal 9 since 2.0.0-beta7."
pc;"Use 2.x branch for Drupal 9."
simplenews_mailjet_subscriptions;"This project is Drupal 9 ready."
teamleader;"This project will be compatible with Drupal 9 when it is released."
log_cache_tags;"This will be available in Drupal 9."
welcome_mail;"This module is compatible with Drupal 9"
ctc;"Clear Cache Tag 8.x-1.x supports Drupal 9. Enjoy."
commerce_shopping_hours;"This module is Drupal 9 ready."
commerce_checkoutcom;"This module is Drupal 9 ready"
create_new_entity_reference_permission;"Drupal 9 compatible!"
widencollective_filefield;"This module is compatible with Drupal 9."
crossword;"8.x-1.x-dev is compatible with D9."
timetable_cron;"This module is Drupal 9 ready."
kafka;"The module is compatible with Drupal 9.3 and 8.9."
kaltura_media;"This module is compatible with both Drupal 8.8 and Drupal 9"
custom_500_error;"it's compatible with both 8 and 9"
follow_unfollow;"-Ported in drupal 9"
link_fix_absolute_urls;"The module is fully compatible with D9."
pingdom_rum;"This module is compatible with Drupal 9 starting from the 2.0.1 release"
bootstrap_pointnet;"As soon as the main theme, Bootstrap 8.x, will be compatible with Drupal 9 I will start the conversion of this sub-theme"
pmfs;"Supports Drupal 9!"
twitter_api;"The 8.x-1.x branch supports Drupal 9"
corona_live_tracker;"Ported to D9"
backward_compatibility;"What's better than Drupal 9? Drupal 9 that can run Drupal 8 modules."
field_permissions_group;"Project is compatible with Drupal 8.8 or 9."
openbusiness;"OpenBusiness 1.4 is now compatible with Drupal 9!"
sign_widget;"checked with Drupal 9 theme <a href=""https://www.drupal.org/project/bootstrap5_admin"">Bootstrap 5 admin</a>"
fb_filter;"Facebook Filter 8.x-1.1 supports Drupal 9."
commerce_pvt;"Ready to roll out on D9, cleaned code and <strong>drupal-checked</strong>-ed it."
bibcite_altmetric;"Currently no known Drupal 9 compatibility issues in latest dev."
login_register_path;"Drupal 9 compatibility."
big_pipe_demo;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/big_pipe_demo/releases/8.x-1.3"">version 1.3</a>!"
anonymous_subscriptions;"Development release is available to use/test"
login_frequency;"Drupal 9 compatible from 8.x-1.2 version."
scheduled_message;"2.x branch is now compatible with Drupal 9!"
yg_profile;"Theme ready for D9"
save_entities;"This module is already fully compatible with Drupal 9"
ckeditor_layouts;"This module is natively build for Drupal 9."
blazy_video_embed_field;"Use 2.0+ of this module."
ckeditor_google_search;"Requires Drupal: ^8 || ^9"
log_everything;"Compatible with Drupal 9"
prehome;"This module is Drupal 9 compliant."
mapbox_ui;"Release 8.x-1.3 or higher is D9 compatible!"
h5p_analytics;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
migrate_process_extras;"8.x-1.0-beta3 and above are D9 compatible ✨"
social_feeds_block;"Drupal 9 support"
tweet_feed;"Drupal 8 & 9 support now available."
update_worker;"This module is 100% compatible with Drupal 9."
custom_solr_search;"Custom SOLR search 8.x-2.0+ supports Drupal 9."
dtuber;"Compatible with Drupal 9"
link_no_protocol;"This project will be compatible with Drupal 9 when it is released."
fivestar_smiley;"This module is Drupal 9 ready."
disable_enable_all_assign_block;"Disable And Enable All Assign Block is fully compatible with Drupal 9!"
elastic_apm;"Branch <code>2.x</code> is compatible with Drupal 9."
uikit_admin;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uikit_admin?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
log;"Log 2.x works with Drupal 9."
popup_link_formatter;"Tested and it's working."
ui_patterns_entity_links;"Already compatible (no deprecated API & core_version_requirement is set)"
loco_translate;"Loco Translate is ready for Drupal 9"
drowl_header_slides;"This module is Drupal 9 compatible in the latest branch."
folder_redirect;"The module is Drupal9 ready."
foldershare_rest;"Adds drupal 9 compatibility, now requires drupal 8.7+, includes client bug fixes."
commerce_easy;"The latest release of the module is compatible with Drupal 9."
hover_card;"This module is Drupal 9 ready."
google_analytics_cookieless;"1.0+ is compatible with Drupal 9"
transliterate_twig;"Compatible with D9"
transaction_workflow;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
delta_filter;"Drupal 9 ready."
drowl_layouts;"This module is Drupal 9 compatible in the latest branch."
commerce_fraud;"The 2.0 branch works with both Drupal 8 and 9"
vefta;"This module will not be available for drupal 9, use video_embed_field instead."
gin_gutenberg;"Works with Drupal 9 out of the box"
oauth_server_sso;"The 8.x module is compatible with Drupal 9 as well"
personal_id;"This module is Drupal 9 compatible."
quicker_edit;"The maintainer will try to keep the module D9 ready from the stable release day. See [#3091733]"
redirect_page_by_role;"Compatible with Drupal 9. Please <a href=""https://www.drupal.org/project/issues/redirect_page_by_role"">report</a> any incompatibilities."
pdf_html;"Should be ready for use on Drupal 9"
plausible;"This module will support Drupal 9 at launch."
breadcrumb_field;"Breadcrumb field module is compatible"
pipedrive;"The 9 version is a complete rewrite but will cover all existing functionality."
jivochat;"ready for it"
cart_item_count;"Currently, it is in active development phase. it will be available very soon for D9."
stop_admin;"This module is Drupal 9 ready."
block_component_library;"We're happy to announce that this module is Drupal 9 compatible! :)"
user_password_randomizer;"Compatible with Drupal 9"
ckeditor_giella;"The module is Drupal 9 compatible."
drupal_yext;"This module is Drupal 9 compatible."
commerce_sage;"Ready for testing with Drupal 9"
cache_utility;"Cache Utility module works with Drupal 8 & 9."
webform_media;"Drupal 9 compatible 🎉"
cookie_consent_notice_by_cookieyes;[#3097028]
drowl_admin;"We're happy to announce that this module is Drupal 9 compatible in the 2.x branch! :)"
fasterweb;"No Drupal 9 issues identified"
migrate_override;"Migrate upgrade is fully D9 compatible as of version 1.1-rc2"
twilio;"The latest 8.x-1.x-dev version is Drupal 9 compatible."
mtc;"This module is fully compatible with Drupal 9!"
lock_layout_builder;"Ready to use."
honey;"This theme was created for Drupal 9."
form_filter_fields;"Supporting D9 now!"
datatables_cdn;"This module is Drupal 9 ready."
rokka;"Branch 2.x supports Drupal 9."
commerce_banca_intesa;"This module is Drupal 9 ready."
mosaicformatter;"No plan to port to Drupal 9"
linkychecker;"Compatible with Drupal 8 and 9."
commerce_coinpayments;"Commerce Coinpayments 8.x-1.1+ supports Drupal 9. Enjoy."
licensing;"The 8.x-1.x branch of this module is compatible with Drupal 9."
preview_site;"😎Compatible from day one"
site_settings_path_alias;"This module is ready for Drupal 9!"
custom_admin_menu;"Custom Admin Menu supports Drupal 9"
hideblock;"Ready to be used with Drupal 9"
batch_jobs;"The Batch Jobs project has been ported to Drupal 9 although there may be additional work as additional changes are made to Drupal 9."
first_time_login;"This module is Drupal 9 ready."
aws_s3_key_checker;"This module is ready for Drupal 9"
cloudfront_cache_path_invalidate;"Requires Drupal: ^8 || ^9 This release supports Drupal 9."
digest;"This module is fully compatible with Drupal 9."
user_info_widget;"This module is Drupal 9 ready."
digital_signage_framework;"This project is ready for Drupal 9"
react_calendar;"2.0.0 is Drupal 9 compatible."
ip_lookup;"This module currently uses no deprecated code and should be compatible with Drupal 9 upon its release."
etracker;"Fully compatible as of 8.x-3.0-beta1."
izi_message;"Release 2.x  fully supports Drupal 9."
roundabout;"<p>This module has no identified issues and should be ready.</p>"
papaparse;"This module is Drupal 9 ready."
recombee;"This module is Drupal 9 compatible."
language_popup;"Module is available for Drupal 8 as well as Drupal 9, but there may some errors in Drupal 9. Please create issue in case any error found."
data_pipelines;"Compatible with D9 from the first release ✨"
crypto_widget;"This module is already fully compatible with Drupal 9"
commerce_donation_flow;"Ready for Drupal 9!"
term_quick_edit;"Term Quick Edit supports Drupal 9. Enjoy."
aggrid;"Drupal 9 Ready!"
addtocal_augment;"This module was built to support Drupal 9. Please file an issue if you encounter any problems with Drupal 8!"
commerce_trustedshops;"Commerce TrustedShops is ready for Drupal 9"
commerce_payu;"D8 version will also D9 compatible."
ultimate_cron_views;"This project is now ready for Drupal 9."
custom_entity_pager;"This module is already compatible with Drupal 9."
dream_block_manager;Ready
ymb;"8.x-2.0+ is Drupal 9 compatible."
node_body_class;"Compatible with Drupal 9"
elogger;"Can be used for D9 projects as well."
page_notifications;"Drupal 9 and 8 compatible"
mailjet_sign_up;"This module is Drupal 9 ready."
signageos;"This project is ready for Drupal 9"
image_alt;"Is Drupal 9 compatible."
entity_role_view_mode_switcher;"Support has been added to the 2.x branch! Feel free to test and report issues"
media_entity_consent;"This module is compatible with Drupal 9 (tested by drupal-check)"
entity_reference_preview;"This module is compatible with Drupal 9"
media_library_filter;"To be reviewed"
youtube_plus;"This module is already fully compatible with Drupal 9!"
slimbox2;"The Version 8.x release of this module is Drupal 9 compatible."
openy_autocomplete_path;"Not ready for Drupal 9. Needs some work in order to rely on filtering by bundle. See https://www.drupal.org/project/openy_autocomplete_path/issues/3189806"
openid_connect_harid;"Is fully compatible"
iubenda;"Drupal-9 compatible as of version 1.0-alpha3."
feedback;"Porting to Drupal 8 and 9 is happening in the <code>3.x</code> branch."
condition_pack;"Drupal 9 ready."
alpha_pagination;"Drupal 8 & Drupal 9 work is currently in the 8.x-2.x dev branch. It is ready for testing and is very close to deployment"
paragraph_skins;"Ready for Drupal 9"
field_label_long_text;"Ready to use for Drupal 9."
route_iframes;"Ready to be used on Drupal 9!"
date_content;"This module was built in Drupal 9. Please open an issue if you encounter any problems with Drupal 8!"
disable_autopopulate_rform;"This module is compatible with Drupal 9."
lingotek_copy_source;"D9 compatible"
mynotes;"This module is Drupal 9 ready."
csv_field;"This module is Drupal 9 ready."
popper_js;"This module is now superfluous and aspects are integrated into Drupal core."
commerce_multisafepay;"This module is Drupal 9 ready."
typedjs_filter;"Compatible with Drupal 9"
cookie_condition;"Should be supported already by Drupal 9"
gitlab_api;"This project is ready for Drupal 9"
entity_view_mode_normalize;"Entity View Mode Normalize supports Drupal 9. Enjoy."
ckeditor_preview;"Drupal 9 compatible."
config_revision;"D9 compatible."
pirate;"8.x-1.1 onwards is compatible with Drupal 9."
entity_reference_number_widget;"Full supported as of the <a href=""https://www.drupal.org/project/entity_reference_number_widget/releases/8.x-1.0"">8.x-1.0</a> release."
claim_on_registration;"Version 1.6+ supports Drupal 9. See [#3139831] for more details."
node_view_redirect;"This module is Drupal 9 compatible 🍻"
commerce_globalpay_redeban;"The module is not tested in Drupal 9 yet but the code is writing to prevent deprecated functions and will offer compatibility with this version."
muuri;"Release <code>8.x-1.2</code> is D9 compatible!"
sqrl;"This project is ready for Drupal 9"
dialog_api;"8.x-1.x-dev is Drupal 9 compatible."
autocomplete_field_match;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
otl_logout;"D9 supported as of the 8.x-1.2 release."
s3client;"😎Supports D9 from day one."
something_went_wrong;"This module is Drupal 9 ready."
search_api_recombee;"This module is Drupal 9 compatible."
ezcontent_api;"Help port this project at [#3128795]"
file_mime_validator;Enjoy!
group_webform;"Drupal 9 readiness added"
limit_domain_access_by_role;"Tested on Drupal 9 and confirmed fully functional."
google_places_search_form;"8.x-2.0 is compatible for Drupal 9"
image_approval;"8.x-1.6 is compatible with Drupal 9"
yunke_captcha;"It already works for D9"
webform_unsubscribe;"The module is compatible with Drupal 9."
layout_builder_asset;"2.0.0-alpha1+ are compatible with Drupal 9."
log_entity_operations;"This module is fully ready for Drupal 9!"
all_extensions;"this module is compatible with Drupal 9 too"
flexible_add_more_widgets;"flexible_add_more_widgets 8.x-1.x-dev supports Drupal 9"
propellerads;"Made the Drupal 8 version. Further will do the Drupal 9 version."
hax;"This is already ready for Drupal 9."
api_connection;"Drupal 9 compatible"
block_entity_form;"Drupal 9 READY."
entity_editor_tabs;"Compatible with Drupal 8 and 9"
civic_job_posting;"This module is compatible with drupal 9."
styled_image;"Compatible with D9."
anonymous_publishing;"This project relies on community support (patches and sponsorship) to complete porting to Drupal 8 and Drupal 9."
feeds_tamper_term_hierarchy;"It's Drupal 9 compatible."
gem_checklist;"Fully compatible with Drupal 9"
elui;"This module should already be compatible with Drupal 9. So if you find any depricated code please create an issue for it. Or an issue with a patch is even better :)"
gfpn4nodes;"This module is Drupal 9 ready."
commerce_promo_link;"This module is ready for Drupal 9."
language_negotiation_matrix;<h3></h3>
rel_attributes_filter;"This module is already fully compatible with Drupal 9"
paybox;"This module is Drupal 9 ready."
toastify;"Drupal 9 is also supported!"
commerce_epn;"This project is ready for Drupal 9!"
smart_ip_locale_redirect;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/smart_ip_locale_redirect?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
search_api_solr_nlp;"Drupal 9 is fully supported!"
gamification;"Compatible with D8 and D9"
qna;"8.x-1.0-alpha1+ is Drupal 9 compatible."
h5p_challenge;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
alternative_user_emails;"Probably D9 ready, but not tested."
commerce_redsys_payment;"D9 tested"
real_estate;"The module is Drupal 9 compatible."
hidden_toolbar;"This module is Drupal 9 ready. v8.x-2.1"
cache_register;<code></code>
dynamic_breadcrumb;"Release <code>8.x-1.1</code> is D9 compatible!"
webform_sendgrid;"Compatible with Drupal 9."
link_context;"Drupal 9 is fully supported since version 1.0."
nodeownership;"<strong>Parially supported</strong> <strong>8.x-1.2+</strong> will be a Drupal 9 compatible."
amp_optimizer;"Compatible with Drupal 9"
bibcite_pubmed;"Currently no known Drupal 9 compatibility issues in latest dev."
mailboxlayer;"Mailboxlayer is compatible with Drupal 9"
docbinder;"Drupal 9 is fully supported since version 1.1."
gmap_static;"1.0.0 is compatible with Drupal 9."
site_per_path;"This module is ready for Drupal 9."
smart_content_paragraphs;"Drupal 9 compatibility is pending these issues from <a href=""https://www.drupal.org/project/smart_content_segments"">Smart content segments</a> being fixed: <ul>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3148855"">Automated Drupal 9 compatibility fixes</a></li>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3151673"">Update info.yml file to allow D9 compatibility</a></li> </ul>"
entity_form_monitor;"This module is Drupal 9 ready."
css_optimizer;"Drupal 9 Compatible"
